_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
67499cf5a88c9300588ba9e1,2024-11-29T10:52:36.136Z,0.1,0.1,0,-1.2,-1,2.6,0
67499cf5a88c9300588ba9e2,2024-11-29T10:52:36.152Z,0.2,0,0.1,-6.6,-5.6,1.8,0
67499cf5a88c9300588ba9e3,2024-11-29T10:52:36.169Z,0.3,-0.1,0.2,-8.1,-8.5,1.2,0
67499cf5a88c9300588ba9e4,2024-11-29T10:52:36.186Z,0.3,0,0.4,-7.8,-7.9,0.5,0
67499cf5a88c9300588ba9e5,2024-11-29T10:52:36.202Z,0.3,0,0.3,-6.1,-5.3,-0.2,0
67499cf5a88c9300588ba9e6,2024-11-29T10:52:36.219Z,0.1,0,0.3,-5.1,-5.3,-0.8,0
67499cf5a88c9300588ba9e7,2024-11-29T10:52:36.235Z,0,0,0.3,-4.8,-9.7,-0.5,0
67499cf5a88c9300588ba9e8,2024-11-29T10:52:36.252Z,0.3,0,0,-5.4,-9.1,-1.8,0
67499cf5a88c9300588ba9e9,2024-11-29T10:52:36.269Z,0,0,0.2,-5,-4.2,-2.4,0
67499cf5a88c9300588ba9ea,2024-11-29T10:52:36.285Z,-0.2,0.1,0.4,-1.9,-1.4,-1,0
67499cf5a88c9300588ba9eb,2024-11-29T10:52:36.302Z,-0.2,0.1,0.2,-0.2,-1.5,-0.1,0
67499cf5a88c9300588ba9ec,2024-11-29T10:52:36.319Z,-0.1,0.2,0.1,-0.7,-2.4,0.4,0
67499cf5a88c9300588ba9ed,2024-11-29T10:52:36.335Z,-0.2,0.3,0.1,-1.8,-5,1.5,0
67499cf5a88c9300588ba9ee,2024-11-29T10:52:36.352Z,-0.2,0.2,0,-3.2,-4.4,2.7,0
67499cf5a88c9300588ba9ef,2024-11-29T10:52:36.369Z,-0.1,0.1,0.2,-2.8,-2.1,3.2,0
67499cf5a88c9300588ba9f0,2024-11-29T10:52:36.385Z,0.1,0.1,0.3,-1.6,-1.7,2.8,0
67499cf5a88c9300588ba9f1,2024-11-29T10:52:36.402Z,0.2,0.1,0.3,0.4,-1.6,1.9,0
67499cf5a88c9300588ba9f2,2024-11-29T10:52:36.419Z,0.1,0.1,0.2,1.5,-1,1.4,0
67499cf5a88c9300588ba9f3,2024-11-29T10:52:36.435Z,0.2,0.1,0,0.8,-0.6,1,0
67499cf5a88c9300588ba9f4,2024-11-29T10:52:36.452Z,0.2,0,0,-0.4,-0.3,-0.5,0
67499cf5a88c9300588ba9f5,2024-11-29T10:52:36.469Z,0.2,0,0.2,0.2,-1.2,-0.9,0
67499cf5a88c9300588ba9f6,2024-11-29T10:52:36.485Z,0.1,-0.1,0.2,0.9,-0.9,-0.7,0
67499cf5a88c9300588ba9f7,2024-11-29T10:52:36.502Z,0.1,-0.1,0.1,1.2,0.5,-0.2,0
67499cf5a88c9300588ba9f8,2024-11-29T10:52:36.519Z,0,0,0.1,1,0.2,0.2,0
67499cf5a88c9300588ba9f9,2024-11-29T10:52:36.535Z,0,0.1,0,0,-0.3,0.5,0
67499cf5a88c9300588ba9fa,2024-11-29T10:52:36.552Z,-0.3,0.2,-0.4,-0.9,-1.3,1.4,0
67499cf5a88c9300588ba9fb,2024-11-29T10:52:36.569Z,-0.2,0.2,0.1,-4.6,-3,3.4,0
67499cf5a88c9300588ba9fc,2024-11-29T10:52:36.585Z,0,0.1,0,-3.9,-3.8,3.3,0
67499cf5a88c9300588ba9fd,2024-11-29T10:52:36.602Z,0,0.2,0.2,-1.7,-0.9,3.3,0
67499cf5a88c9300588ba9fe,2024-11-29T10:52:36.619Z,0.2,0.1,0.1,-0.8,0.1,3.1,0
67499cf5a88c9300588ba9ff,2024-11-29T10:52:36.635Z,0.2,0.2,0.3,-0.8,-0.4,1.4,0
67499cf5a88c9300588baa00,2024-11-29T10:52:36.652Z,0.2,0.1,0.5,1,-0.2,0,0
67499cf5a88c9300588baa01,2024-11-29T10:52:36.669Z,0.1,0.1,0.5,2.6,0.3,-1,0
67499cf5a88c9300588baa02,2024-11-29T10:52:36.685Z,-0.1,0.2,0.2,3.4,1.8,-1.2,0
67499cf5a88c9300588baa03,2024-11-29T10:52:36.702Z,-0.3,0.2,0,2.4,1,-0.1,0
67499cf5a88c9300588baa04,2024-11-29T10:52:36.719Z,-0.3,0.2,0.1,0.6,-2.8,1.5,0
67499cf5a88c9300588baa05,2024-11-29T10:52:36.735Z,-0.3,0.2,0,-0.8,-6.1,2.8,0
67499cf5a88c9300588baa06,2024-11-29T10:52:36.752Z,-0.2,0.2,-0.1,-3.2,-5.2,4.3,0
67499cf5a88c9300588baa07,2024-11-29T10:52:36.769Z,-0.1,0.2,0,-3,-2.5,5.1,0
67499cf5a88c9300588baa08,2024-11-29T10:52:36.785Z,0.2,0,0.1,-1.7,-2.2,4,0
67499cf5a88c9300588baa09,2024-11-29T10:52:36.802Z,0.3,-0.1,0.1,-0.5,-3.1,1.6,0
67499cf5a88c9300588baa0a,2024-11-29T10:52:36.819Z,0.2,0,0,-0.5,-2.6,0.4,0
67499cf5a88c9300588baa0b,2024-11-29T10:52:36.835Z,-0.1,0,0.1,-0.5,-2.2,1.8,0
67499cf5a88c9300588baa0c,2024-11-29T10:52:36.852Z,0,-0.1,0.3,0,-5.2,3.2,0
67499cf5a88c9300588baa0d,2024-11-29T10:52:36.869Z,0.1,-0.1,0,-1.3,-4.9,3.2,0
67499cf5a88c9300588baa0e,2024-11-29T10:52:36.885Z,0.5,-0.1,-0.3,-2.5,-0.4,0.9,0
67499cf5a88c9300588baa0f,2024-11-29T10:52:36.902Z,0.6,-0.2,0.1,-1.9,0.6,-2.1,0
67499cf5a88c9300588baa10,2024-11-29T10:52:36.919Z,0.2,-0.1,0.2,-1.5,-0.1,-1.7,0
67499cf5a88c9300588baa11,2024-11-29T10:52:36.935Z,0,0,0,-3.6,0.8,-0.8,0
67499cf9a88c9300588baa13,2024-11-29T10:52:41.118Z,-0.3,0.3,0,-0.4,0,-1.4,0
67499cf9a88c9300588baa14,2024-11-29T10:52:41.135Z,-0.1,0.2,0.1,-0.1,0.7,-1,0
67499cf9a88c9300588baa15,2024-11-29T10:52:41.152Z,0,0.2,0.1,-0.1,0.7,-1,0
67499cf9a88c9300588baa16,2024-11-29T10:52:41.168Z,0.1,0.1,0,-0.7,0.9,-1.3,0
67499cf9a88c9300588baa17,2024-11-29T10:52:41.185Z,0,0,0.1,-1.2,0.3,-1.1,0
67499cf9a88c9300588baa18,2024-11-29T10:52:41.202Z,-0.2,0.1,0.3,-0.8,-1.5,-0.3,0
